time_us,layer,event,detail
0.000000,link,reset_low,"master drives low for 500 us"
500.000000,physical,release,"weak pull-up tVIH=0.645435us"
530.645435,link,presence_low,"sensor presence pulse 120 us"
650.645435,link,presence_release,"sensor releases bus"
651.290870,link,write_byte_begin,"0xcc"
651.290870,link,write0_slot,"bit=0"
742.936305,link,write0_slot,"bit=1"
834.581740,link,write1_slot,"bit=2"
926.227175,link,write1_slot,"bit=3"
1017.872610,link,write0_slot,"bit=4"
1109.518045,link,write0_slot,"bit=5"
1201.163480,link,write1_slot,"bit=6"
1292.808915,link,write1_slot,"bit=7"
1384.454350,transaction,command_accept,"0xcc response_bytes=0"
1384.454350,link,write_byte_begin,"0x44"
1384.454350,link,write0_slot,"bit=0"
1476.099785,link,write0_slot,"bit=1"
1567.745220,link,write1_slot,"bit=2"
1659.390655,link,write0_slot,"bit=3"
1751.036090,link,write0_slot,"bit=4"
1842.681525,link,write0_slot,"bit=5"
1934.326960,link,write1_slot,"bit=6"
2025.972395,link,write0_slot,"bit=7"
2117.617830,transaction,command_accept,"0x44 response_bytes=0"
3117.617830,link,reset_low,"master drives low for 500 us"
3617.617830,physical,release,"weak pull-up tVIH=0.645435us"
3648.263265,link,presence_low,"sensor presence pulse 120 us"
3768.263265,link,presence_release,"sensor releases bus"
3768.908700,link,write_byte_begin,"0xcc"
3768.908700,link,write0_slot,"bit=0"
3860.554135,link,write0_slot,"bit=1"
3952.199570,link,write1_slot,"bit=2"
4043.845005,link,write1_slot,"bit=3"
4135.490440,link,write0_slot,"bit=4"
4227.135875,link,write0_slot,"bit=5"
4318.781310,link,write1_slot,"bit=6"
4410.426745,link,write1_slot,"bit=7"
4502.072180,transaction,command_accept,"0xcc response_bytes=0"
4502.072180,link,write_byte_begin,"0xbe"
4502.072180,link,write0_slot,"bit=0"
4593.717615,link,write1_slot,"bit=1"
4685.363050,link,write1_slot,"bit=2"
4777.008485,link,write1_slot,"bit=3"
4868.653920,link,write1_slot,"bit=4"
4960.299355,link,write1_slot,"bit=5"
5051.944790,link,write0_slot,"bit=6"
5143.590225,link,write1_slot,"bit=7"
5235.235660,transaction,command_accept,"0xbe response_bytes=9"
5235.235660,link,read_byte_begin,"source=0x90"
5235.235660,link,read0_slot,"bit=0"
5341.235660,link,read0_slot,"bit=1"
5447.235660,link,read0_slot,"bit=2"
5553.235660,link,read0_slot,"bit=3"
5659.235660,link,read1_slot,"bit=4"
5755.881095,link,read0_slot,"bit=5"
5861.881095,link,read0_slot,"bit=6"
5967.881095,link,read1_slot,"bit=7"
6064.526530,link,read_byte_end,"0x90"
6064.526530,link,read_byte_begin,"source=0x01"
6064.526530,link,read1_slot,"bit=0"
6161.171965,link,read0_slot,"bit=1"
6267.171965,link,read0_slot,"bit=2"
6373.171965,link,read0_slot,"bit=3"
6479.171965,link,read0_slot,"bit=4"
6585.171965,link,read0_slot,"bit=5"
6691.171965,link,read0_slot,"bit=6"
6797.171965,link,read0_slot,"bit=7"
6903.171965,link,read_byte_end,"0x01"
6903.171965,link,read_byte_begin,"source=0x4b"
6903.171965,link,read1_slot,"bit=0"
6999.817400,link,read1_slot,"bit=1"
7096.462835,link,read0_slot,"bit=2"
7202.462835,link,read1_slot,"bit=3"
7299.108270,link,read0_slot,"bit=4"
7405.108270,link,read0_slot,"bit=5"
7511.108270,link,read1_slot,"bit=6"
7607.753705,link,read0_slot,"bit=7"
7713.753705,link,read_byte_end,"0x4b"
7713.753705,link,read_byte_begin,"source=0x46"
7713.753705,link,read0_slot,"bit=0"
7819.753705,link,read1_slot,"bit=1"
7916.399140,link,read1_slot,"bit=2"
8013.044575,link,read0_slot,"bit=3"
8119.044575,link,read0_slot,"bit=4"
8225.044575,link,read0_slot,"bit=5"
8331.044575,link,read1_slot,"bit=6"
8427.690010,link,read0_slot,"bit=7"
8533.690010,link,read_byte_end,"0x46"
8533.690010,link,read_byte_begin,"source=0x7f"
8533.690010,link,read1_slot,"bit=0"
8630.335445,link,read1_slot,"bit=1"
8726.980880,link,read1_slot,"bit=2"
8823.626315,link,read1_slot,"bit=3"
8920.271750,link,read1_slot,"bit=4"
9016.917185,link,read1_slot,"bit=5"
9113.562620,link,read1_slot,"bit=6"
9210.208055,link,read0_slot,"bit=7"
9316.208055,link,read_byte_end,"0x7f"
9316.208055,link,read_byte_begin,"source=0xff"
9316.208055,link,read1_slot,"bit=0"
9412.853490,link,read1_slot,"bit=1"
9509.498925,link,read1_slot,"bit=2"
9606.144360,link,read1_slot,"bit=3"
9702.789795,link,read1_slot,"bit=4"
9799.435230,link,read1_slot,"bit=5"
9896.080665,link,read1_slot,"bit=6"
9992.726100,link,read1_slot,"bit=7"
10089.371535,link,read_byte_end,"0xff"
10089.371535,link,read_byte_begin,"source=0x0c"
10089.371535,link,read0_slot,"bit=0"
10195.371535,link,read0_slot,"bit=1"
10301.371535,link,read1_slot,"bit=2"
10398.016970,link,read1_slot,"bit=3"
10494.662405,link,read0_slot,"bit=4"
10600.662405,link,read0_slot,"bit=5"
10706.662405,link,read0_slot,"bit=6"
10812.662405,link,read0_slot,"bit=7"
10918.662405,link,read_byte_end,"0x0c"
10918.662405,link,read_byte_begin,"source=0x10"
10918.662405,link,read0_slot,"bit=0"
11024.662405,link,read0_slot,"bit=1"
11130.662405,link,read0_slot,"bit=2"
11236.662405,link,read0_slot,"bit=3"
11342.662405,link,read1_slot,"bit=4"
11439.307840,link,read0_slot,"bit=5"
11545.307840,link,read0_slot,"bit=6"
11651.307840,link,read0_slot,"bit=7"
11757.307840,link,read_byte_end,"0x10"
11757.307840,link,read_byte_begin,"source=0x33"
11757.307840,link,read1_slot,"bit=0"
11853.953275,link,read1_slot,"bit=1"
11950.598710,link,read0_slot,"bit=2"
12056.598710,link,read0_slot,"bit=3"
12162.598710,link,read1_slot,"bit=4"
12259.244145,link,read1_slot,"bit=5"
12355.889580,link,read0_slot,"bit=6"
12461.889580,link,read0_slot,"bit=7"
12567.889580,link,read_byte_end,"0x33"
12567.889580,link,reset_low,"master drives low for 500 us"
13067.889580,physical,release,"weak pull-up tVIH=0.645435us"
13098.535015,link,presence_low,"sensor presence pulse 120 us"
13218.535015,link,presence_release,"sensor releases bus"
13219.180450,link,write_byte_begin,"0x33"
13219.180450,link,write1_slot,"bit=0"
13310.825885,link,write1_slot,"bit=1"
13402.471320,link,write0_slot,"bit=2"
13494.116755,link,write0_slot,"bit=3"
13585.762190,link,write1_slot,"bit=4"
13677.407625,link,write1_slot,"bit=5"
13769.053060,link,write0_slot,"bit=6"
13860.698495,link,write0_slot,"bit=7"
13952.343930,transaction,command_accept,"0x33 response_bytes=8"
13952.343930,link,read_byte_begin,"source=0x00"
13952.343930,link,read0_slot,"bit=0"
14058.343930,link,read0_slot,"bit=1"
14164.343930,link,read0_slot,"bit=2"
14270.343930,link,read0_slot,"bit=3"
14376.343930,link,read0_slot,"bit=4"
14482.343930,link,read0_slot,"bit=5"
14588.343930,link,read0_slot,"bit=6"
14694.343930,link,read0_slot,"bit=7"
14800.343930,link,read_byte_end,"0x00"
14800.343930,link,read_byte_begin,"source=0x01"
14800.343930,link,read1_slot,"bit=0"
14896.989365,link,read0_slot,"bit=1"
15002.989365,link,read0_slot,"bit=2"
15108.989365,link,read0_slot,"bit=3"
15214.989365,link,read0_slot,"bit=4"
15320.989365,link,read0_slot,"bit=5"
15426.989365,link,read0_slot,"bit=6"
15532.989365,link,read0_slot,"bit=7"
15638.989365,link,read_byte_end,"0x01"
15638.989365,link,read_byte_begin,"source=0x00"
15638.989365,link,read0_slot,"bit=0"
15744.989365,link,read0_slot,"bit=1"
15850.989365,link,read0_slot,"bit=2"
15956.989365,link,read0_slot,"bit=3"
16062.989365,link,read0_slot,"bit=4"
16168.989365,link,read0_slot,"bit=5"
16274.989365,link,read0_slot,"bit=6"
16380.989365,link,read0_slot,"bit=7"
16486.989365,link,read_byte_end,"0x00"
16486.989365,link,read_byte_begin,"source=0x00"
16486.989365,link,read0_slot,"bit=0"
16592.989365,link,read0_slot,"bit=1"
16698.989365,link,read0_slot,"bit=2"
16804.989365,link,read0_slot,"bit=3"
16910.989365,link,read0_slot,"bit=4"
17016.989365,link,read0_slot,"bit=5"
17122.989365,link,read0_slot,"bit=6"
17228.989365,link,read0_slot,"bit=7"
17334.989365,link,read_byte_end,"0x00"
17334.989365,link,read_byte_begin,"source=0x00"
17334.989365,link,read0_slot,"bit=0"
